seri;model;titles;year;km;color;prices;date;location
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.989.000 TL;11Nisan2023;_stanbul Ata_ehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.989.000 TL;11Nisan2023;_stanbul Ata_ehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.989.000 TL;11Nisan2023;_stanbul Ata_ehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.289.000 TL;11Nisan2023;_stanbul Ata_ehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.289.000 TL;12Mart2023;_stanbul Ata_ehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.289.000 TL;12Mart2023;_stanbul Ata_ehir
911;Carrera 4S;RAIN CAR DAN PORSCHE CARRERA 4S CABRIO CHRONO HATASIZ;2013;83.300;Beyaz;6.289.000 TL;12Mart2023;_stanbul Ata_ehir
Panamera;Panamera 4;BAY__ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP;2017;82.500;Siyah;7.025.000 TL;17Nisan2023;Çorum Kargı
Panamera;Panamera 4;BAY__ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP;2017;82.500;Siyah;7.110.000 TL;17Nisan2023;Çorum Kargı
Panamera;Panamera 4;BAY__ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP;2017;82.500;Siyah;7.550.000 TL;17Nisan2023;Çorum Kargı
Panamera;Panamera 4;BAY__ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP;2017;82.500;Siyah;7.550.000 TL;17Nisan2023;Çorum Kargı
Panamera;Panamera 4;BAY__ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP;2017;82.500;Siyah;7.550.000 TL;17Nisan2023;Çorum Kargı
Panamera;Panamera 4;BAY__ 2017 HATASIZ BOYASIZ PANAMERA 4 330 HP;2017;82.500;Siyah;7.550.000 TL;17Nisan2023;Çorum Kargı
911;Carrera 4S;2011 PORSCHE CARRERA 4S PDK BOYASIZ 82.500KM TÜRK_YE DE TEK;2011;82.500;Siyah;4.300.000 TL;13Mart2023;_stanbul Be_ikta_
911;Carrera 4S;2011 PORSCHE CARRERA 4S PDK BOYASIZ 82.500KM TÜRK_YE DE TEK;2011;82.500;Siyah;4.300.000 TL;13Mart2023;_stanbul Be_ikta_
911;Carrera 4S;2011 PORSCHE CARRERA 4S PDK BOYASIZ 82.500KM TÜRK_YE DE TEK;2011;82.500;Siyah;4.300.000 TL;13Mart2023;_stanbul Be_ikta_
Panamera;Panamera 4;BAYii 2017 NOKTA HATASIZ BOYASIZ;2017;81.500;Siyah;7.050.000 TL;01Nisan2023;Çorum Kargı
