seri,model,titles,year,km,color,prices,date,"seri,model,titles,year,km,color,prices,date,location,""seri,model,titles,year,km,color,prices,date,location""",Il,Ilce,id,km_median,km / median
Taycan,4S Performance Plus,2021 MODEL BOYASIZ CAM TAVAN 571 BG,2021,290,Gri,4990000,23/04/2023,,Batman,Merkez,14,180.0,1.6111111111111112
Taycan,4S Performance Plus,MONZA MOTORS 2021 PORSCHE TAYCAN 4S PERFORMANCE PLUS-BAYİ,2021,150,Füme,5950000,23/04/2023,,İzmir,Gaziemir,41,180.0,0.8333333333333334
Taycan,4 Cross Turismo,ARS MOTORS 2022 PORSCHE TAYCAN 4 CROSS TURISMO BOSE+ISITMA,2022,71,Siyah,6890000,23/04/2023,,İstanbul,Beşiktaş,40,1001.0,0.07092907092907093
Taycan,Turbo S,"Porsche Taycan Turbo S, Full Karbon",2021,43,Siyah,7250000,23/04/2023,,İstanbul,Güngören,40,180.0,0.2388888888888889
Panamera,Panamera Diesel,HATASIZ MAKYAJLI-AIRMATI­C-BOSS-CHRONO-V­AKUM-SOGUTMA-360,2013,1490,Beyaz,3850000,23/04/2023,,Konya,Selçuklu,53,1685.0,0.884272997032641
Panamera,Panamera Diesel,KAHRAMAN OTOMOTİV'DEN HATASIZ BOYASİZ TAM DOLU PORSCHE PANAMERA,2012,2450,Beyaz,2950000,23/04/2023,,Antalya,Kepez,8,1970.0,1.2436548223350254
911,Targa 4S,ORJİNAL 2008 PORSHE 911 TARGA 4S,2008,1480,Gri,2639750,23/04/2023,,İstanbul,Bağcılar,40,1350.0,1.0962962962962963
Panamera,Panamera Diesel,ÇELİKLER LUXURY CAR,2013,990,Beyaz,3650000,23/04/2023,,Antalya,Muratpaşa,8,1685.0,0.5875370919881305
911,Carrera 4S,2025 DOĞUŞ GARANTİLİ 2014 SON ATMOSFERİK MOTORLU CARRERA 4S,2013,398,Beyaz,7100000,23/04/2023,,Kocaeli,Gebze,52,1685.0,0.23620178041543027
Panamera,Panamera 4,SAHİBİNDEN ÖTV SORUNSUZ!! PORSCHE PANAMERA 4,2011,2290,Beyaz,2800000,23/04/2023,,İzmir,Bornova,41,1680.0,1.3630952380952381
911,Carrera 4S,"""OTOROLL"" 2014 911CARRERA 4S SOĞUTMA CARBON CHRONO SPOR EGZOZ",2014,600,Gümüş Gri,7500000,22/04/2023,,İstanbul,Bakırköy,40,1420.0,0.4225352112676056
Taycan,4S Performance Plus,"""OTOROLL"" 2020 TAYCAN 4S PERFORMANCE PLUS CHRONO BOSE ARKA AKS",2020,250,Sarı,5900000,22/04/2023,,İstanbul,Bakırköy,40,260.0,0.9615384615384616
Panamera,Panamera Diesel,2012 PORSCHE PANAMERA,2012,2450,Kahverengi,2800000,22/04/2023,,Bursa,Nilüfer,21,1970.0,1.2436548223350254
Panamera,Panamera Diesel,EMA MOTORS'' CARBON PUSULA SOĞUTMA ISITMA AİRMATİC FULL,2012,1590,Beyaz,2949000,22/04/2023,,İstanbul,Silivri,40,1970.0,0.8071065989847716
Taycan,Turbo,PORSCHE TAYCAN TURBO 680HP BAYİ ÖZEL RENK,2020,32182,Turkuaz,5850000,22/04/2023,,Ankara,Çankaya,7,260.0,123.77692307692308
718,Boxster,2019 Bayii Hatasız Pdk Full (Otomatik),2019,88,Beyaz,4550000,22/04/2023,,İstanbul,Eyüpsultan,40,320.0,0.275
Taycan,4S,ENZO MOTORS 2020 PORSCHE TAYCAN 4S BAYİ ÇIKIŞLI İÇİ ESPRESSO FUL,2020,235,Gri,5275000,22/04/2023,,İzmir,Bornova,41,260.0,0.9038461538461539
Cayman,S,EURO MOTORS 2007 PORSCHE CAYMAN S CHRONE/BOSE/ISITMA,2007,118364,Gri,1685000,22/04/2023,,İstanbul,Sarıyer,40,1300.0,91.04923076923077
Taycan,Turbo,2023 PORSCHE TAYCAN TURBO-BAYİ-S­OĞUTMA-BOSE MUSİC-HEAD UP,2022,8003,Gri,9950000,22/04/2023,,Ankara,Çankaya,7,1001.0,7.995004995004995
Panamera,Panamera Diesel,2012 Porsche Panamera Dizel Boyasız 139.627km,2012,139627,Siyah,3440000,22/04/2023,,İstanbul,Üsküdar,40,1970.0,70.8766497461929
Panamera,Panamera Diesel,KIRATLI A.Ş.- 2012 PORSCHE PANAMERA BAYİİ ÇIKIŞLI,2012,2060,Siyah,2750000,22/04/2023,,Gaziantep,Şehitkamil,33,1970.0,1.0456852791878173
Boxster,S,2009 MODEL 3.4 H 6 295 HP BOXSTER S PDK ŞANZIMAN 76500 KMDE,2009,765,Siyah,1870000,22/04/2023,,İstanbul,Kadıköy,40,765.0,1.0
911,Carrera S,BAŞERLER - 2012 MODEL 911 CARRERA S CABRİO HATASIZ BOYASIZ,2012,570,Beyaz,6550000,22/04/2023,,Ankara,Akyurt,7,1970.0,0.2893401015228426
Panamera,Panamera Diesel,BAYİ HATASIZ BOYASIZ,2011,1900,Siyah,4200000,22/04/2023,,Ankara,Altındağ,7,1680.0,1.130952380952381
Panamera,Panamera 4 Platinum Edition,SAHİBİNDEN 2022BAYİ PANAMERA4 PLATİNUMEDİTİON BOSE+SĞTM+21JANT,2022,11,Siyah,11935000,22/04/2023,,İstanbul,Ümraniye,40,1001.0,0.01098901098901099
Taycan,4S Performance Plus,İLK SAHİBİNDEN 2021 SPORT DESİGN-TEBEŞİR-TRÜF -22KW-CHRONO-MASAJ,2021,360,Gri,6850000,22/04/2023,,İstanbul,Beykoz,40,180.0,2.0
911,Carrera,Dogus Cikisli + Bakimli + Garantisi Devam Ediyor,2012,49317,Kahverengi,5650000,22/04/2023,,Ankara,Çankaya,7,1970.0,25.034010152284264
Taycan,4S Performance Plus,ilk sahibinden tertemiz,2020,100,Siyah,5100000,22/04/2023,,İstanbul,Şişli,40,260.0,0.38461538461538464
Panamera,Panamera 4,SS MOTORS BAYİ 2019 PANAMERA 4-SPOR EGZ.-AIRMATIC-­SOĞUTMA-CHRONO,2019,59807,Füme,8950000,22/04/2023,,İstanbul,Şişli,40,320.0,186.896875
Panamera,Panamera Diesel,PANEMARA BAYİ BAKIMLI,2012,2600,Siyah,2475000,22/04/2023,,Ankara,Gölbaşı,7,1970.0,1.3197969543147208
Taycan,4 Cross Turismo,İCON AUTO - TAYCAN 4 CROSS - İÇ TRÜF - SOĞUTMA - MASAJ - EKRAN,2021,0,Füme,5999950,22/04/2023,,İstanbul,Esenyurt,40,180.0,0.0
Panamera,Panamera S,EXTRALI 2011 PANAMERA S TAM ÖTV,2011,1730,Beyaz,4000000,22/04/2023,,Bursa,Nilüfer,21,1680.0,1.0297619047619047
911,Carrera 4S,2007 CARRERA 4S CABRİO 122.000 KM . FULL ESTETİK HEDİYE,2007,1220,Siyah,3900000,22/04/2023,,Denizli,Merkezefendi,25,1300.0,0.9384615384615385
Taycan,4S Performance Plus,YENİKÖY MOTORS 2020 PORSCHE TAYCAN 4S - ARKA AKS - SPORT DESIGN,2020,266,Bordo,5950000,22/04/2023,,İstanbul,Sarıyer,40,260.0,1.023076923076923
Taycan,4S Performance Plus,ERKO GARAGE'DAN 2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS,2020,210,Gri,6500000,22/04/2023,,İstanbul,Ataşehir,40,260.0,0.8076923076923077
Taycan,4S Performance Plus,VENEDI 2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS 20.000KM HATASIZ,2020,200,Gri,6150000,22/04/2023,,İstanbul,Kağıthane,40,260.0,0.7692307692307693
Taycan,4S Performance Plus,2020 PORSCHE TAYCAN 4S PERFORMANCE PLUS HATASIZ,2020,50,Beyaz,5450000,22/04/2023,,İzmir,Bornova,41,260.0,0.19230769230769232
Taycan,4S Performance Plus,2021 TAYCAN 4S PERFORMANCE PLUS SİYAH İÇİ TRÜF TAM DOLU,2021,120,Siyah,6250000,22/04/2023,,İstanbul,Kadıköy,40,180.0,0.6666666666666666
Panamera,Panamera Diesel,SEYYAL OTOMOTİV'DEN 2012 PANAMERA 3.0 D+4SOĞUTMA+­BOSE+BYSZ!!,2012,2320,Beyaz,2890000,22/04/2023,,Ankara,Akyurt,7,1970.0,1.1776649746192893
911,Carrera 4S,"ARS MOTORS PORSCHE 911 4S,SPOR EGZOZ,TRÜF,FULL",2019,170,Füme,11850000,22/04/2023,,Bursa,Nilüfer,21,320.0,0.53125
Cayman,Cayman,ÖZERK MOTORS/2015 MOD/BAYİ/2.7 LİTRE/275 HP/19İNÇ OZ RACİNG JANT,2015,1050,Siyah,2750000,22/04/2023,,Tekirdağ,Süleymanpaşa,73,1280.0,0.8203125
Taycan,4S Performance Plus,YENİKÖY MOTORS 2020 PORSCHE TAYCAN 4S PERFORMANCE-D­ISPLAY-MASAJ,2020,0,Gümüş Gri,6100000,21/04/2023,,İstanbul,Sarıyer,40,260.0,0.0
Taycan,Turbo S,BAYİ ÇIKIŞLI ÖZEL RENK EMSALSİZ,2020,350,Gri,8450000,21/04/2023,,Mersin,Toroslar,58,260.0,1.3461538461538463
Panamera,Panamera Diesel,2012 BAYİ PANAMERA 3.0 DİESEL BEYAZ İÇİ BEJ ISITMA SUNROOF,2012,2920,Beyaz,2329000,21/04/2023,,İstanbul,Beylikdüzü,40,1970.0,1.482233502538071
Panamera,Panamera Diesel,ERMER'DEN PORSCHE PANAMERA DİESEL-VERGİ BARIŞLI-EMSALSİZ,2015,880,Siyah,4360000,21/04/2023,,İstanbul,Bağcılar,40,1280.0,0.6875
Panamera,Panamera Diesel,PORSHE PANAMERA DİZEL KAZASIZ TAM DOLU PUSULA EĞLENCE PAKET..,2012,1860,Beyaz,2850000,21/04/2023,,Bursa,Osmangazi,21,1970.0,0.9441624365482234
Taycan,Turbo,MİLHAN MOTORS 2020 PORSCHE TAYCAN TURBO BOSE-ISITMA BAYİ CIKİŞLI,2020,636,Siyah,6600000,21/04/2023,,İstanbul,Bahçelievler,40,260.0,2.4461538461538463
Panamera,Panamera Diesel,OTOSHOW 2'ELDEN 2013 PORSCHE PANAMERA HAFIZA ISITMA+SOĞUTMA+NAVİ,2013,2900,Beyaz,2650000,21/04/2023,,İstanbul,Ataşehir,40,1685.0,1.7210682492581602
Taycan,4S Performance Plus,SAPAN MOTORS 2020 PORSCHE TAYCAN TAM DOLU FULL HATASIZ-BOYASIZ,2020,260,Füme,4850000,21/04/2023,,İstanbul,Bakırköy,40,260.0,1.0
Panamera,Panamera Diesel,VİZYON CARS VAN MATRiX MARŞAL PUSULA RECORE ÖZEL SPOYLR SOĞUTMA,2013,2450,Siyah,5150000,21/04/2023,,Van,İpekyolu,78,1685.0,1.454005934718101
Taycan,Turbo S Cross Turismo,AUTOBANK 2021 TAYCAN TURBO S CROSS TOURİSMO GECE GÖRÜŞ - HEAD UP,2021,0,Gri,8750000,21/04/2023,,İstanbul,Beşiktaş,40,180.0,0.0
